trial,failed,error,train_sessions,val_sessions,session_norm,crop_first,crop_last,unstable_remove,gauss_sigma,win,step,b,include_mean,include_var,include_energy_sigmoid,early_stopping,validation_fraction,random_state,use_pca,pca_components,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,n_iter_no_change,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2,train_time_s,actual_n_iter
66,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,50,20.0,30,3.9865564567874263,1.9966362855531365,1.350013455340756,0.99736080580234,404.9925853259731,20.124427577597658,16.45078818151409,0.6783928360166793,32.21526520000771,3000
98,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,8,20,10.0,30,10.907753294594066,3.3026887977213453,2.2529602856042525,0.9927788106059338,405.0564864139012,20.12601516480352,16.498831881252155,0.6783420917600963,20.940516600036062,3000
458,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,8,20,10.0,30,10.907753294594066,3.3026887977213453,2.2529602856042525,0.9927788106059338,405.0564864139012,20.12601516480352,16.498831881252155,0.6783420917600963,17.992853099945933,3000
122,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,20,10.0,30,3.274087423615501,1.8094439542620548,1.2067258406176946,0.9978324770701978,405.21638388410383,20.12998718042572,16.48186587295525,0.6782151161714479,35.87678540009074,3000
482,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,20,10.0,30,3.274087423615501,1.8094439542620548,1.2067258406176946,0.9978324770701978,405.21638388410383,20.12998718042572,16.48186587295525,0.6782151161714479,29.904686599969864,3000
474,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,50,20.0,30,11.086174120146074,3.3295906835744953,2.2733824292312885,0.9926606918202994,406.0315099534149,20.15022357080474,16.572876315858952,0.6775678194234618,18.98883099993691,3000
114,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,50,20.0,30,11.086174120146074,3.3295906835744953,2.2733824292312885,0.9926606918202994,406.0315099534149,20.15022357080474,16.572876315858952,0.6775678194234618,21.97285380004905,3000
137,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,50,10.0,30,2.791726792514265,1.6708461307117017,1.136497257605622,0.9981518111603032,406.110271550287,20.152177836409816,16.47196660322787,0.6775052743430859,36.751229500048794,3000
497,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,50,10.0,30,2.791726792514265,1.6708461307117017,1.136497257605622,0.9981518111603032,406.110271550287,20.152177836409816,16.47196660322787,0.6775052743430859,30.390548499999568,3000
442,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,8,200,1.0,30,25.71600439496309,5.0710949897397,3.4987348034824786,0.9829753998665607,406.2941714141452,20.15674009888864,16.508798850603764,0.6773592383023896,12.006488800048828,3000
